name,id,fid,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
The Falling,tt3294200,3294200.0,102,"['Maxine Peake', 'Maisie Williams', 'Florence Pugh', 'Anna Burnett', 'Greta Scacchi', 'Hannah Rose Caton', 'Lauren McCrostie', 'Katie Ann Knight', 'Evie Hooton', 'Monica Dolan', 'Mathew Baynton', 'Morfydd Clark', 'Joe Cole', 'Elizabeth Marsh', 'Hannah Stokely', 'Guy Morris', 'Katherine Peat', 'Ben Kerfoot', 'Jiggy Bhore', ""Crissy O'Donovan"", 'Simon Paisley Day', 'Yasmin Bahar', 'Ellie Bamber', 'Jessica Calam', 'Sasha Constance', 'Olivia Deslandes', 'Claudia Higgins', 'Amelia Holder', 'Josie Lovick', 'Lataetia McEvilly-Duncan', 'Emma Preston', 'Emily Redding', 'Magda Grace Salvesen', 'Mel Severn', 'Kathrin Smith', 'Katie Abson', 'Georgia Bond', 'Megan Brittain', 'Georgia Burling', 'Marie Calderoni', 'Emma Charnley', 'Elanor Davidson', 'Sophie Davis', 'Rebecca De Laroque', 'Beth Dennis', 'Imogen Dickens', 'Jenna Elliot', 'Laura Eve', 'Ana Eyre', 'Ellis Hancox', 'Elli Harris', 'Georgina Holliday', 'Louise Holman', 'Olivia Horncastle', 'Madeleine Hosking', 'Roseanna Hunt', 'Violet MacDonald', 'Sapphire McQueen Harold', 'Darcey Mills', 'Jenna Moran', 'Shannon Morgan', 'Skye Orman-Aldworth', 'Jade Pateman', 'Hayley Philips', 'Darcey Rushton', 'Sophie Spillane', 'Lucy Stanton', 'Emily Dermont', 'Sarah Lowe', 'Ellen Claire Sutherland', 'Louise Templeton', 'Matthew Thornhill']","['Drama', 'Mystery', 'Thriller']",['gb'],['en'],Not Rated,,,,5.4,5484.0,24 Apr 2015 (UK),The Falling,Carol Morley,Carol Morley,,Cairo Cannon,Ian Davies,Cannon and Morley Productions,Independent,Tracey Thorn,Chris Wyatt,Agnès Godard,,Hannah Green,Paul Driver
Autómata,tt4229814,4229814.0,8,"['Metztli Chavez', 'Fabian Figo', 'Daniel Salcedo', 'Hector Torres']","['Short', 'Action', 'Drama', 'Sci-Fi']",['mx'],['es'],,,,,,,,Autómata,Elesbaan Castro,Elesbaan Castro,,,,,,,Sam Reyes,Saul Castro,,,
X/Y,tt2790182,2790182.0,82,"['Ryan Piers Williams', 'America Ferrera', 'Jon Paul Phillips', 'David Harbour', 'Castille Landon', 'Tricia Donegan', 'Amber Tamblyn', 'Sue Jean Kim', 'Melonie Diaz', 'Adam Rapp', 'Danny Deferrari', 'Shigeko Sara Suga', 'Maria Dizzia', 'Alina Puscau', 'Dree Hemingway', 'Common', 'Alex Wyse', 'Tom Kemp', 'Laurie Cole', 'Leana Gardella', 'Joseph Genera', 'Tracy Michael Lynch', 'TaiVon McKinney', 'Kevin J. Medlin', 'And Palladino', 'Jennifer Pollock', 'Fernando Rosas', 'Pasha Sol', 'Miriam Weisbecker', 'Manu White']",['Drama'],['us'],['en'],Not Rated,,,,4.1,541.0,,X/Y,Ryan Piers Williams,Ryan Piers Williams,,Jason Michael Berman,Paull Cho,Deconstructed Pictures,MindSmack Productions,Will Bates,Sabine Hoffman,Pedro Gómez Millán,,Jason Hightower,
Search Party,tt2758904,2758904.0,93,"['Adam Pally', 'T.J. Miller', 'Thomas Middleditch', 'Shannon Woodward', 'Alison Brie', 'J.B. Smoove', 'Octavio Gómez Berríos', 'Maurice Compte', 'Lance Reddick', 'Krysten Ritter', 'Rosa Salazar', 'Jason Mantzoukas', 'Jon Glaser', 'Steven Fernandez', 'Liz Cackowski', 'Laurie Singer', 'Codi Fischer', 'Tracy Vilar', 'Seth Nichols', 'Billy Merritt', 'Richard Holden', 'Timmy Mayse', 'Eric Filipkowski', 'Jesse Falcon', 'Robert Amstrong', 'Horatio Sanz', 'Joe Nunez', 'Daniel Zacapa', 'Riki Lindhome', 'Kate Micucci', 'Brian Huskey', 'Chris Otte', 'Antonio Zuri', 'Peaches Davis', 'Brad Morris', 'Garrett Gage Grant', 'Taryn Terrell', 'Valerie Adams', 'Austin Reed Alleman', 'Chris Angerdina', 'Joshua R. Aragon', 'Patrick Arrellin', 'Heidi C. Bordogna', 'Chase McCleery Bouchie', 'Paul Catalano', 'Rebecca Collins', 'Ross P. Cook', 'Jeffrey Estiverne', 'April Flores', 'Christina Gopal', 'Steffie Grote', 'Colin Haag Jr.', 'Zach Hoyt', 'Jaci LeJeune', 'Alexandra Lucchesi', 'John R Mangus', 'Michelle McClendon', 'David Miley', 'David Stephen Mitchell', 'Rebekah Jean Morgan', 'Peter Mortillaro', 'Zach Nichols', 'Gustavo I. Ortiz', 'Vincent Paolicelli', 'Andre Pith', 'Michael Rollins', 'Tommy Sheppard', 'Jack T. Silliman', 'Logan Douglas Smith', 'Donavon St.Andre', 'Kelsey Swire', 'Shirley Tregre', 'Sarah Reid Vinyard', 'Leslie Anne Whitman', 'Jesse Yarborough']","['Adventure', 'Comedy']",['us'],"['en', 'es']",R,20000000.0,,,5.6,6254.0,30 Oct 2014 (Netherlands),Search Party,Scot Armstrong,Mike Gagerman,Andrew Waller,Scot Armstrong,Paul Brooks,Gold Circle Films,RGB Media,Craig Wedren,Sam Seig,Tim Orr,,Chelsea Donison,Vaughn Bien III
Live Nude Girls,tt2946498,2946498.0,100,"['Mike Hatton', 'Dave Foley', 'Bree Olson', 'Har Mar Superstar', 'Tera Patrick', 'Annemarie Pazmino', 'Andy Dick', 'Asa Akira', 'Ken Hudson Campbell', 'Kristen DeLuca', 'Mindy Robinson', 'Matt Offerman', 'Shaun Parker', 'Christopher Zane Gordon', 'Sam Tripoli', 'Missy Martinez', 'Naomi Leonard', 'Robin Collins', 'Kuba Ka', 'John Archer Lundgren', 'Rachel Alig', 'Michael P. Blevins', 'Mira Carr', 'Jamie Gaul', 'Michael Adam Hamilton', 'Ericson Just', 'John Kang', 'Pati Lauren', 'Mercy Malick', 'Lil Steve Niel', ""Tommy O'Rourke"", 'Kyle Pacek', 'Elissa Rosenthal', 'Justin Sandler', 'Mark Sherman', 'Mike Shimler', 'Angelina Spicer', 'Charley Tichenor', 'Jasmine Waltz', 'Matt Weber']",['Comedy'],['us'],,Not Rated,,,,4.0,1068.0,19 Aug 2014 (USA),Live Nude Girls,Jay Leggett,Mike Hatton,,Asko Akopyan,George Akopyan,Ton of Hats,Oscar Gold Productions,Gilbert Gabriel,Chris Lorusso,Patrice Lucien Cochet,,Thomas Bangert,
Shelter,tt3136112,3136112.0,105,"['Adolfo Mendez-Nouel', 'Anthony Mackie', 'Kevin Hoffman', 'Teddy Cañez', 'Steve Cirbus', 'Alok Tewari', 'Haythem Noor', 'Jennifer Connelly', 'Wilson Montuori', 'Jean-François Ogoubiyi', 'Laurent Caillat', 'J.D. Williams', 'Bruce Altman', 'Susanna Guzman', 'Rob Morgan', 'Andrew Polk', 'Scott Johnsen', 'Babs Olusanmokun', 'Kecia Lewis', 'Audrie Neenan', 'Kevin Geer', 'Gameela Wright', 'Holly Chou', 'Stellan Bettany', 'Babacar Thiam', 'Kevin Bielinski', 'Chris Costa', 'Siraj Huda', 'Rakesh Shah', 'Paul Urcioli', 'Uzimann', 'Bill Walters', 'Dana Wilton', 'Dolores Winn']",['Drama'],['us'],['en'],TV-MA,,,,6.5,4063.0,11 Dec 2015 (UK),Shelter,Paul Bettany,Paul Bettany,,Steffen Aumueller,Robert Ogden Barnum,Bifrost Pictures,The Bridge Finance Company,,John F. Lyons,Paula Huidobro,Marina Parker,Eric Berkal,Aylwyn Goh
Jack,tt3469918,3469918.0,103,"['Ivo Pietzcker', 'Georg Arms', 'Luise Heyer', 'Nele Mueller-Stöfen', 'Vincent Redetzki', 'Jacob Matschenz', 'Odine Johne', 'Johann Jürgens', 'Atheer Adel', 'Anthony Arnold', 'Amar Saaifan', 'Justine Ewerth', 'Celina Rodemann', 'Patrick Sommerburg', 'Dolunay Bales', 'Leon Fürstenau', 'Maurice Martin', 'Michael Sideris', 'Daniela Holtz', 'Stefan Miess', 'Johannes Hendrik Langer', 'Christian Sengewald', 'Sébastien Jacobi', 'Johann Fohl', 'Christian Blümel', 'Johannes Naber', 'Victor Pape-Thies', 'Moritz Virmond', 'Svenja Liesau', 'Annedore Kleist', 'Sebastian Stielke']",['Drama'],['de'],['de'],,,,,7.3,975.0,09 Oct 2014 (Germany),Jack,Edward Berger,Edward Berger,Nele Mueller-Stöfen,Wolfgang Behr,Andreas Eicher,Camino Filmverleih,Port au Prince Film & Kultur Produktion,Christoph Kaiser,Janina Herhoffer,Jens Harant,,Saskia Pöppke,Natalie Maximova
No Good Deed,tt2011159,2011159.0,84,"['Idris Elba', 'Taraji P. Henson', 'Leslie Bibb', 'Kate del Castillo', 'Henry Simmons', 'Mirage Moonschein', 'Kenny Alfonso', 'Dan Caudill', 'Tatom Pender', ""Kelly O'Neal"", 'Mark Rhino Smith', 'Bobbie Elzey', 'Leon Lamar', 'Frank Brennan', 'Wilbur Fitzgerald', 'Dolan Wilson', 'Brianna Slate', 'Stacey Turner', 'Yamanee Coleman', 'Gregory Cook', 'Ron Goss', 'Walter Hendrix III', 'Alan D. Purwin', 'Serrell K. Rollins', 'Gregory Marshall Smith']","['Action', 'Crime', 'Drama', 'Horror', 'Thriller']",['us'],['en'],PG-13,13200000.0,"$24,250,283, 12 Sep 2014",,5.6,16543.0,10 Sep 2014 (Trinidad and Tobago),No Good Deed,Sam Miller,Aimee Lagos,,Lee Clay,Idris Elba,Screen Gems,Will Packer Productions,Paul Haslinger,Randy Bricker,Michael Barrett,Melinda Sanders,Robert S. Hoffman,Bijay Awale
Dear White People,tt2235108,2235108.0,108,"['Tyler James Williams', 'Tessa Thompson', 'Kyle Gallner', 'Teyonah Parris', 'Brandon P Bell', 'Brittany Curran', 'Justin Dobies', 'Marque Richardson', 'Malcolm Barrett', 'Dennis Haysbert', 'Peter Syvertsen', 'Brandon Alter', 'Kate Gaulke', 'Brian James', 'Keith Myers', 'Bryan Daniel Porter', 'Terry Hempleman', 'Naomi Ko', 'Ashley Blaine Featherson', 'Jemar Michael', 'Courtney Sauls', 'Casey Millard', 'Avery Bilz', 'Michelle Wong', 'Craig Stepp', 'Baratunde Thurston', 'Nia Jervier', 'Randy Baranczyk', 'Gregory Bonsignore', 'Mark Christine', 'Bob Cummings', 'Shawn Davenport', 'Ross Destiche', 'Barry Drones', 'Mary Ellis', 'Armin Habibovich', 'Alan Holasek', 'Lenne Klingaman', 'Brady Knutson', 'Punnavith Koy', 'Kelly Lavasseur', 'Chelsea Anne Lawrence', 'Briana Rose Lee', 'Larissa Lowthorp', 'Ben Mark', 'Kayla Pentico', 'Daniel Pinder', 'Dj Quaile', 'Valerie Rose', 'Michael Sung Ho', 'Joel Thingvall', 'July Vang', 'Liz Wandersee', 'Vee Washington', 'Mitchell Williams', 'Teresa Williams', 'Annie Zimbel']","['Comedy', 'Drama', 'Romance']",['us'],['en'],R,,"$347,959, 17 Oct 2014",,6.1,23709.0,04 Dec 2014 (Brazil),Dear White People,Justin Simien,Justin Simien,,Stephanie Allain,Effie Brown,Code Red,Duly Noted,Kathryn Bostic,Phillip J. Bartell,Topher Osborn,Melissa Pritchett,Van Hayden,Patrick Clancey
Happy New Year,tt2461132,2461132.0,180,"['Shah Rukh Khan', 'Deepika Padukone', 'Anupam Kher', 'Abhishek Bachchan', 'Anurag Kashyap', 'Jackie Shroff', 'Boman Irani', 'Sajid Khan', 'Prabhu Deva', 'Gauri Khan', 'Sonu Sood', 'Malaika Arora', 'Varun Pruthi', 'Kiku Sharda', 'Sarah-Jane Dias', 'Dino Morea', 'Vishal Dadlani', 'Geeta Kapoor', 'Daisy Irani', 'Mohan Kapoor', 'Jason Tham', 'Vivaan Shah', 'Kavi Shastri', 'Blake Curtis-Woodcock', 'Manjit Singh', 'Sameer Ali Khan', 'Vishal Malhotra', 'Jimmy Moses', 'Puneet Vashist', 'Rio Kapadia', 'Olivia M Williams', 'Chuka Ekweogwu', 'Shashank Sharma', 'Ciara A. Lyons', 'Rahul Kohli', 'Abram Khan', 'Aryan Singh', 'Cameron Singh', 'Farida Mughal Singh']","['Action', 'Comedy', 'Music']",['in'],['hi'],Not Rated,,,,5.1,32191.0,23 Oct 2014 (Kuwait),Happy New Year,Farah Khan,Althea Kaushal,,Karuna Badwal,Gauri Khan,Red Chillies Entertainment,Yash Raj Films Worldwide Release,Vishal Dadlani,Tushar Parekh,Manush Nandan,,Gundeep Kohli,Srinivas Achary
Home for Christmas,tt3596436,3596436.0,102,"['Lucy Griffiths', 'April Pearson', 'Derren Nesbitt', 'Karl Davies', 'Amanda Piery', 'Lorna Rose Harris', 'Shirley Jaffe', 'Matt Beveridge', 'Pat Garrett', 'Graeme Dalling', 'Gemma Rook', 'Nicholas Moon', 'Amy Maynard']","['Comedy', 'Romance']",['gb'],['en'],,,,,5.6,231.0,,Home for Christmas,Jamie Patterson,Jamie Patterson,,Jamie Aiken,Felicity Beckett,Jump Start Productions,,Richey Rynkowski,David Fricker,Cliff Traill,,Georgia Bone,
The Opposite Sex,tt2796678,2796678.0,97,"['Geoff Stults', 'Mena Suvari', 'Jennifer Finnigan', 'Josh Hopkins', 'Eric Roberts', 'Kenan Thompson', 'Josh Cooke', 'Debra Jo Rupp', 'Joey Fatone', 'Tom DeNucci', 'Jonathan Silverman', 'Kristin Chenoweth', 'Dana Ashbrook', 'Madeline Merritt', 'Danielle Guldin', 'Bridget Everett', 'Jennifer Jostyn', 'Nadia Dajani', 'Nicole Lewis', 'Jackie Moore', 'Tom Papa', 'Maria Kanellis', 'Donna Del Bueno', 'Tom Paolino', 'Patty Ross', 'Joseph Polisena', 'Michelle Verdi', 'Sera Verdi', 'Chris Verdi', 'Mark Mussina', 'Nathan Lesser', 'Wayne Alan Hawkins', 'Tommy Dreamer', 'Nick Principe', 'David Gere', 'Seth Rosenblit', 'Fred Sullivan Jr.', 'John Gorham', 'Gregg Bello', 'Patrick Blank', 'Will Severance', 'Chad A. Verdi Jr.', 'Julie Eckles', 'Tanja Melendez Lynch', 'Tracy Michael Lynch', 'Alexander Jose Paguay', 'Matt Burns', 'Joseph Macleod', 'Ashton Penney', 'Devyn Penney', 'Amanda Finnegan', 'Jordan Griffin', 'Scott Leonard', 'Mikey Antuono', 'Cam Bissitt', 'Cayden Dupras', 'Nichols Symmes', 'Logan Lemay', 'Cory Rittall', 'Luis Vargas', 'Jake Gausland', 'David Iannuccillii', 'Ryan Dilorenzo', 'Jessica Lussier', 'Cailene Dupras', 'Marc Catone', 'A.T. Dipina', 'Dylan Lemay', 'Mason Bissitt', 'Roger Marano', ""Phil 'Skippy' Adams"", 'Saintura Badeau', 'Ryan Boudreau', 'Van Brockmann', 'Rick C. Corbett', 'Julie Ann Dawson', 'Miranda Evans', 'Sandra L. Fogell', 'Jimmy Folco', 'Gwen Kosak', 'Julian Lowenthal', 'Noel Moore', 'Michael D. Murphy Sr.', ""Darren O'Brien"", 'Eddie Polanco', 'Paulie Popolizio', 'Diezel Ramos', 'Amy Rutberg', 'Anthony Salvatore', 'Ashley Tramonte', 'Roman Vangeli', 'Elizabeth Verrill', 'Michael R. West', 'Gary Wolfenden']",['Comedy'],['us'],['en'],Not Rated,3300000.0,,,4.5,854.0,01 May 2015 (Poland),The Opposite Sex,Jennifer Finnigan,Mark Mussina,,Adam Alexander,Larry Allison Jr.,Verdi Productions,Magna Entertainment,,Keith Croket,Jendra Jarnagin,Johanna B. Kelly,Ken Dee,
Killers,tt2409300,2409300.0,137,"['Kazuki Kitamura', 'Oka Antara', 'Rin Takanashi', 'Luna Maya', 'Ray Sahetapy', 'Ersya Aurelia', 'Tensui Sakai', 'Epy Kusnandar', 'Mei Kurokawa', 'Tara Basro', 'Denden', 'Dimas Argoebie', 'Steve Jean', 'Yuki Konoe', 'Roy Marten', 'Lily Sp', 'Tristan', 'Firza Afero', 'Cansirano', 'Ananditaa', 'Motoki Fukami', 'Kosei Hattanda', 'Mio Kadoshima', 'Momoko', 'Ryûto', 'Nikolaus Samesada', 'Habibie Alatas', 'Bastian', 'Maratuah', 'Ajoy Ardi', 'Deden', 'Eka', 'Ade', 'Saat', 'Herry', 'Gondo', 'Stanlee Saklil', 'Anggika', 'Rika', 'Salsabila', 'Ali Al Tway', 'Andre Yosinda', 'Raka Alfianto', 'Benny', 'Dafa']","['Action', 'Crime', 'Drama', 'Horror', 'Thriller']","['id', 'jp']","['ja', 'id', 'en', 'fr']",Not Rated,,,,6.4,4582.0,01 Feb 2014 (Japan),Killers,Kimo Stamboel,Takuji Ushiyama,,Rangga Maya Barack-Evans,Yoshinori Chiba,Guerilla Merah Films,Nikkatsu,Aria Prayogi,,Gunnar Nimpuno,,,
Blackwood,tt2570414,2570414.0,90,"['Ed Stoppard', 'Sophia Myles', 'Russell Tovey', 'Isaac Andrews', 'Paul Kaye', 'Greg Wise', 'Joanna Vanderham', 'Kenneth Collard', 'Anna Andresen', 'Harry Burton', 'Alan Drake', 'Sebastian Dunn', 'Luke Brandon Field', 'Melanie Gray', 'Eileen Nicholas', 'Duncan Pow', 'Annabel Riley']","['Horror', 'Thriller']",['gb'],['en'],Not Rated,,,,5.3,1065.0,01 Aug 2014 (UK),Blackwood,Adam Wimpenny,J.S. Hill,,J.S. Hill,Adam Morane-Griffiths,Wildcard Films,,Lorne Balfe,Stephen Haren,Dale Elena McCready,,Mark Gillespie,Jim Allen
Lakshmi,tt2976176,2976176.0,115,"['Monali Thakur', 'Vibha Chhibber', 'Ranjeet Jha', 'Ram Kapoor', 'Satish Kaushik', 'Gulfam Khan', 'Nagesh Kukunoor', 'Priyanka', 'Flora Saini', 'Shefali Shah', 'Ramakrishna Shenoy']",['Drama'],['in'],['hi'],,,,,8.0,1244.0,21 Mar 2014 (India),Lakshmi,Nagesh Kukunoor,Nagesh Kukunoor,,Jayantilal Gada,Elahe Hiptoola,Kukunoor Movies Production,SIC Productions,Tapas Relia,Sanjib Datta,Chirantan Das,,Devyani Anant,
Default,tt1871257,1871257.0,88,"['Grifon Aldren', 'Jeanne Baron', 'John Burke', 'Greg Callahan', 'Arsha Darbinyan', 'Momo Dione', 'Robert W. Evans', 'Connor Fox', 'Mohamed Hakeemshady', 'Rob Locke', 'Stephen Lord', 'Jeanine Mason', 'Scott McCloud', 'Katherine Moennig', 'Harbi Mohameud', 'Kamal Moummad', 'Karim Ndiaye', 'Benjamin A. Onyango', 'Peres Owino', 'David Oyelowo', 'Dave Parke', 'Mauricio Solis', 'Gaku Space', 'James C. Victor', 'Greg Vrotsos']","['Action', 'Thriller']",['us'],['en'],,750000.0,,,4.3,221.0,17 Oct 2014 (USA),Default,Simon Brand,Jim Wolfe Jr.,Dan Bence,Dan Bence,Julián Giraldo,Default PIctures,,Xander Lott,Ricardo Javier,Gerardo Madrazo,Richard Roraback,Carlos Reza,Matthew Coleshill
Pi Zi Ying Xiong 2,tt4027096,4027096.0,126,"['Mark Chao', 'Kenny Lin', 'Bo Huang', 'Janine Chun-Ning Chang', 'Chieh-kai Shiou', 'Jason Tsou', 'Terri Kwan', 'Coulee Nazha', 'Shih-Chieh King', 'Moon Wang', 'Yueh-Hsun Tsai', 'Chih-Wei Tang', 'Ti-Men Kan', 'Fion Hong', 'Hank Wu', 'Mandy Lieu', 'Huai-Chen Huang', 'Christopher Ming-Shun Lee', 'Yawei Basang', 'Kuo-Chu Chang', 'Leo Chiu', 'Wasir Chou', 'Lu-Hao Chu', 'Curtis Fu', 'Lei Fu', 'Chun Hu', 'Ting Ting Hu', 'Yin-yin Kang', 'Aaron Lai', 'Guangfu Li', 'Xing Li', 'Ching-i Pai', 'Diana Tai', 'Chuan-cheng Tao', 'Li-Yun Tsai', 'Ray Yang', 'Chao-te Yin', 'Chung-Yueh Yun']",['Action'],"['cn', 'tw', 'hk']",['cmn'],,,,,5.7,540.0,Oct 2014 (Taiwan),Black & White: The Dawn of Justice,Yueh-Hsun Tsai,,,Wei-Ming Chen,Fiona Hu,China Film Group Corporation,Prajna Works Entertainment Co.,,Yi-Ning Chiang,,,Jack Gill,Guillaume Arrighi
Felt,tt3854104,3854104.0,80,"['Amy Everson', 'Kentucker Audley', 'Ryan Creighton', 'Elisabeth Ferrara', 'Roxanne Knouse', 'Merkley', 'Brendan Miller', 'Alanna Reynolds', 'Antonio Ruiz Jr.', 'Mark Skubala', 'Brandileigha Stracner']","['Drama', 'Horror', 'Romance']",['us'],['en'],Not Rated,,,,4.7,806.0,,Felt,Jason Banker,Jason Banker,,Jason Banker,Jesse McGowan,,,,Jason Banker,Jason Banker,,,
Runoff,tt2094034,2094034.0,90,"['Joanne Kelly', 'Neal Huff', 'Alex Shaffer', 'Kivlighan de Montebello', 'Darlene Hunt', 'Rashel Bestard', 'Tom Bower', 'Brennan James Callan', 'Drew Cash', 'Thomas Dunbar', 'Jennifer Graham', 'Brad Koed', 'Joseph Melendez', 'Mark Sawyer-Dailey', 'Michael Taft', 'Rich Williams', 'Shane Woodson']",['Drama'],['us'],['en'],R,,"$9,515, 28 Jun 2015",,5.9,323.0,26 Jun 2015 (USA),Runoff,Kimberly Levin,Kimberly Levin,,Peter Askin,Will Battersby,Cantuckee Pictures,Reno Productions,Danny Bensi,Kimberly Levin,Hermes Marco,,Katie Carroll,T.F. Bundy
Rage of Innocence,tt3042540,3042540.0,104,"['Lauren Baldwin', 'Jessica Bassuk', 'Tony Cicchetti', 'Chelsea Cook', 'Stef Dawson', 'Bill Devlin', 'Keeshan Giles', 'Hank Grover', 'Ernest Kearney', 'Tammy Klein', 'Douglas Macpherson', 'John McCafferty', 'Ted Nichelson']",['Thriller'],['us'],['en'],Not Rated,,,,6.8,14.0,,Rage of Innocence,Mark Pirro,Mark Pirro,,John Ahern,Mark Pirro,Pirromount Pictures,,Jerry Danielsen,Mark Pirro,Bruce Heinsius,,,
The Missionary Position,tt3957716,3957716.0,79,"['Kate Goodwin', 'Shawn Parker', 'Taylor Katz', 'Marcus Jamin', 'Katie Avery', 'Nigel Agnew', 'Sheree Tams']","['Comedy', 'Romance']",['ca'],['en'],,,,,5.5,39.0,,The Missionary Position,Robin Sharp,Robin Sharp,,Alex Woodside,,,,Carmen Elle,Amy Davis,James Hellyer,,,
Pause,tt2770026,2770026.0,82,"['Baptiste Gilliéron', 'Julia Faure', 'André Wilms', 'Nils Althaus', 'Nicole Letuppe', 'Roland Vouilloz', 'Baptiste Coustenoble', 'Hélène Barbry', 'Margherita Coldesina', 'Jean-Michel Distexhe', 'Pierre-Antoine Dubey', 'Sanjiv Hayre', 'Olivier Yglesias']","['Comedy', 'Romance']",['ch'],['fr'],,,,,6.1,105.0,09 Jun 2016 (Germany),Pause,Mathieu Urfer,Mathieu Urfer,,Elodie Brunner,Christelle Michel,Box Productions,,Marcin de Morsier,Yannick Leroy,Timo Salminen,Monica Alberte,Martine Aupetit,Antoine Baumann
The Other Side,tt2921338,2921338.0,103,"['Chad Conley', 'Danielle Lozeau', 'Christine Starkey', 'Benjamin Sheeler', 'Michelle Coben', 'Jack Davis', 'Chucky Hendershot', 'Robert Liscio', 'Matt Bright', 'Sean Justin Scott', 'Will Guffey', 'Johnny Terreri', 'Christopher Murphy', 'Lamar Darnell Fields', 'Carl Clemons', 'Joe Kellington', 'Tom Mirth', 'Ryann Renee Lugo', 'James Quinn', 'Earl Rorer', 'Joe Fishel', 'John Mihaljevic', 'Shannon M. Hart', 'DaMia Law', 'Matthew Carraher', 'Caylyn Stamm', 'Jessica Bell', 'Todd Bobenrieth', 'Jennifer Boch-Wawrzyniak', 'Cara Clark', 'Colleen Clark', 'Victoria Deans', 'Kelly Deaven', 'Will Kass', 'Jameson Leigh', 'Taryn Mountz', 'Christopher Nardizzi', 'Phil Nardozzi', 'Dave Petti', 'Edward Pfeifer', 'Kelsey Quinn', 'Arielle Rokosky', 'Gretchen Rokosky', 'Randall Rokosky', 'Trevor Rokosky', 'Shawn Shelpman', 'Carrie Shoberg', 'Rick White', 'John D. Wicinas', 'Frank Wilson', 'David Wolfe', 'Patty Drummond-Jenkins', 'James H. Jenkins', 'Laurie Mann', 'Barry Stephens', 'Alex Zimmerman', 'Jayden Zimmerman']","['Drama', 'Horror', 'Thriller']",['us'],['en'],Not Rated,50000.0,,,3.0,247.0,25 Oct 2014 (USA),The Other Side,Raymond Mongelli III,Chris Niespodzianski,,Matthew Carraher,Jack Davis,Cyfuno Ventures,Orchard Place Productions,John Niespodzianski,Chris Niespodzianski,Raymond Mongelli III,,Matthew Carraher,Raymond Mongelli III
The Will,tt2826352,2826352.0,72,"['Martina Bjäre', 'Eliza Morales Brown', 'Talia Gordon', 'Beth Hallo', 'Jeff Horn', 'Alex Montaldo', 'Susan Porro', 'Gregory Roman', 'Morten Rudå', 'Don Scime', 'Merete Van Kamp', 'Courtney Warner', 'Matthew Wise', 'Eileen Woods', 'Dorian Yates']",['Thriller'],['us'],['en'],,3000000.0,,,5.3,11.0,28 Feb 2014 (USA),The Will,Alexander Chapan,Alexander Chapan,,Alexander Chapan,Theodore Goldman,Achilles Motion,Chapan Works Production,Dev Avidon,,Vincent De Paula,,,
Knocking on Heaven's Door,tt4948154,4948154.0,,"['Majid Michel', 'Ini Edo', 'Adesua Etomi-Wellington', 'Blossom Chukwujekwu', 'Robert Peters', 'Leelee Byoma', 'Oz Ejike Agu', 'Supersoniq Amanyi', 'Emeka Duru', 'Temisan Etsede', 'Evaezi', 'Christopher Ezirim', 'Mukolu Fredrick', 'Papa Joe', 'Femi Knight', 'Dike Magnus', 'Femi Olusola', 'Steve Onu', 'Isiguzo Uzoma']",['Musical'],['ng'],['en'],,,,,6.3,28.0,,Knocking on Heaven's Door,Desmond Elliot,,,Ini Edo,Emem Isong,Achievas Entertainment,,,,,,,
Ausencia,tt3736776,3736776.0,8,"['Marco Antonio Argueta', 'Leticia Fabián']","['Short', 'Drama']",['mx'],['es'],,,,,,,,Ausencia,Alfredo Mendoza,Alfredo Mendoza,,Alfredo Mendoza,,,,,Alfredo Mendoza,Juan Hernández,,,
I Declare War,tt4768794,4768794.0,80,"['Anthony McNeil', 'Ulyssa Hancock', 'Lemastor Spratling', 'Chiquita Dunham-Parker', 'Andrae Todd James Bicy', 'Tiffany Mitchell', 'Chazmar Hall', 'Sarah Evalt', 'Dan Zarembski', 'Ali Baba', 'Maysoon Abu-Omarah', 'Tarrick Al-Samhouri', 'Michael James Alexander', 'ShaTonya Barnes', 'Paul Barnett', 'Rick Beamon', 'Christian Berry', 'Jesse Boyd-Williams', 'Kimberly Cruchon Brooks', 'Dayna Christy', 'Tava Chunn', 'Alphonso Cox', 'George Dabish', 'Dennis Doyle Jr.', 'Gregory Freeman', 'Kim Gault', 'Timothy Gay', 'Pam German', 'Rocco Guirlanda', 'Mohammad Hamad', 'Nader Hamad', 'Kaamel Hasaun', 'Pam Henry', 'Richard Hingst', 'Paula Hood-Cuffie', 'Hawa Idrissu', 'William Jackson', 'Christian Kubica', 'Earnest Lee', 'Waleed Mansoob', 'Rose Anne Nepa', 'Brooklynn Oates', 'Antonio Patterson', 'Cameron Reed', 'Jenaya Jones Reynolds', 'Terrence Royal', 'Alecia Smith', 'Enrico Smith', 'Nicklaus Spratling', 'Ayriel Strange', 'Ali Tirmizi', 'John Tynan Jr.', 'Mr. Washington', 'Jamie Wheatley', 'Timothy White']",['Drama'],['us'],['en'],,,,,4.8,12.0,Oct 2015 (USA),I Declare War,Dennis L. Reed II,Dennis L. Reed II,,Ulyssa Hancock,Dennis L. Reed II,,,,Roe Dayzon,James Terry,,,
